collection_date,drop_off_location,stake,ward/stake,number_of_adult,number_of_youth,donation_bags_collected,time_spent,completed_more_than_one_route,routes_completed,doors_in_route,time_spent,neighbourhood,ward,assessed_value,new_route_number/name
2023-09-23 11:47,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,35,60.0,0,2,148,120.0,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,503500.0,Gateway Stake 57
2023-09-23 11:47,Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,2,0,44,60.0,1,2,446,60.0,RUTHERFORD,Ipiihkoohkanipiaohtsi Ward,1154500.0,Riverbend Stake 16
2023-09-23 11:47,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,1,2,35,45.0,0,2,200,30.26904762,LONDONDERRY,,837500.0,Bonnie Doon Stake 55
2023-09-23 11:48,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,3,1,117,45.0,1,4,403,90.0,CORONATION PARK,,837500.0,Bonnie Doon Stake 56
2023-09-23 11:48,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,0,30,105.0,1,3,356,105.0,GRIESBACH,Anirniq Ward,6666500.0,Edmonton North Stake 20
2023-09-23 11:49,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,2,40,70.0,1,2,200,70.0,CLAREVIEW,,837500.0,Bonnie Doon Stake 57
2023-09-23 11:49,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,3,3.0,0,2,194,30.26904762,CLAREVIEW,,837500.0,Bonnie Doon Stake 58
2023-09-23 11:49,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,30,55.0,0,2,174,55.0,SILVER BERRY,Sspomitapi Ward,162000.0,Gateway Stake 58
2023-09-23 11:49,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,4,3,26,30.0,0,2,148,36.0,LEE RIDGE,Karhiio Ward,28618500.0,Gateway Stake 59
2023-09-23 11:50,Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,1,1,24,90.0,0,2,170,90.0,TERWILLEGAR PARK,,738854.8387,Riverbend Stake 17
2023-09-23 11:50,Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,2,0,70,90.0,1,1,312,108.0,TERWILLEGAR PARK,,738854.8387,Riverbend Stake 18
2023-09-23 11:50,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,2,3,20,60.0,0,2,120,60.0,FOREST HEIGHTS,MÃÂ©tis Ward,837500.0,Bonnie Doon Stake 59
2023-09-23 11:50,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,1,0,26,40.0,1,3,191,36.0,ELLERSLIE,Karhiio Ward,797500.0,Gateway Stake 60
2023-09-23 11:50,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,1,23,32.0,1,1,195,32.0,CRAWFORD PLAINS,Sspomitapi Ward,140000.0,Gateway Stake 61
2023-09-23 11:50,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,15,30.0,0,2,121,38.0,CLAREVIEW,,837500.0,Bonnie Doon Stake 60
2023-09-23 11:50,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,13,15.0,0,2,115,30.0,CRAWFORD PLAINS,Sspomitapi Ward,140000.0,Gateway Stake 62
2023-09-23 11:51,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,1,2,20,50.0,1,2,260,50.0,ELLERSLIE,Karhiio Ward,797500.0,Gateway Stake 63
2023-09-23 11:51,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,1,1,18,45.0,0,2,125,36.0,FOREST HEIGHTS,MÃÂ©tis Ward,837500.0,Bonnie Doon Stake 61
2023-09-23 11:51,Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,2,1,36,40.0,0,2,145,44.0,LEE RIDGE,Karhiio Ward,28618500.0,Gateway Stake 64
2023-09-23 11:52,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,5,1,6,15.0,0,2,40,60.0,SOUTHGATE,,837500.0,Bonnie Doon Stake 62
2023-09-23 11:52,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,2,35,60.0,0,2,214,60.0,ELLERSLIE,Karhiio Ward,797500.0,Gateway Stake 65
2023-09-23 11:52,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,6,15.0,0,2,168,15.0,CRAWFORD PLAINS,Sspomitapi Ward,140000.0,Gateway Stake 66
2023-09-23 11:52,North Stake Centre,Edmonton North Stake,Griesbach Ward,3,2,43,60.0,1,2,40,60.0,GRIESBACH,Anirniq Ward,6666500.0,Edmonton North Stake 21
2023-09-23 11:52,Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,3,1,19,40.0,0,2,150,50.0,TERWILLEGAR PARK,,738854.8387,Riverbend Stake 19
2023-09-23 11:52,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,1,10,52.0,0,2,120,52.0,GRIESBACH,Anirniq Ward,6666500.0,Edmonton North Stake 22
2023-09-23 11:53,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,2,1,48,44.0,1,2,208,44.0,GREENFIELD,papastew Ward,295500.0,Riverbend Stake 20
2023-09-23 11:53,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,4,0,42,60.0,1,2,194,96.0,FOREST HEIGHTS,MÃÂ©tis Ward,837500.0,Bonnie Doon Stake 63
2023-09-23 11:53,Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,1,2,40,30.0,0,2,220,30.0,WOODBEND,,738854.8387,Riverbend Stake 21
2023-09-23 11:53,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,1,1,30,60.0,0,2,100,30.26904762,LONDONDERRY,,837500.0,Bonnie Doon Stake 64
2023-09-23 11:54,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,1,55,110.0,1,2,194,98.0,CORONATION PARK,,837500.0,Bonnie Doon Stake 65
2023-09-23 11:54,Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,1,1,40,150.0,1,2,180,95.0,CONNORS HILL,,837500.0,Bonnie Doon Stake 66
2023-09-23 11:54,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,2,0,50,270.0,1,1,210,83.0,GREENFIELD,papastew Ward,295500.0,Riverbend Stake 22
2023-09-23 11:55,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,6,5,48,49.0,0,2,162,42.0,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,503500.0,Gateway Stake 67
2023-09-23 11:55,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,2,2,17,51.0,0,2,75,54.0,FOREST HEIGHTS,MÃÂ©tis Ward,837500.0,Bonnie Doon Stake 67
2023-09-23 11:55,Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,2,2,65,90.0,1,2,650,70.0,RUTHERFORD,Ipiihkoohkanipiaohtsi Ward,1154500.0,Riverbend Stake 23
2023-09-23 11:56,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,2,15,60.0,0,2,100,75.0,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,503500.0,Gateway Stake 68
2023-09-23 11:56,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,3,31,50.0,0,2,180,50.0,SILVER BERRY,Sspomitapi Ward,162000.0,Gateway Stake 69
2023-09-23 11:56,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,6,35.0,0,2,110,65.0,CLAREVIEW,,837500.0,Bonnie Doon Stake 68
2023-09-23 11:56,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,1,0,30,75.0,1,2,250,30.26904762,LONDONDERRY,,837500.0,Bonnie Doon Stake 69
2023-09-23 11:57,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,4,0,37,45.0,1,2,194,100.0,CORONATION PARK,,837500.0,Bonnie Doon Stake 70
2023-09-23 11:57,Bearspaw Chapel,Bonnie Doon Stake,Strathcona Married Student Ward,2,1,10,30.0,0,2,90,45.0,STRATHCONA MARRIED STUDENT,,837500.0,Bonnie Doon Stake 71
2023-09-23 11:57,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,4,0,17,30.0,0,2,17,30.26904762,LONDONDERRY,,837500.0,Bonnie Doon Stake 72
2023-09-23 11:57,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,2,34,28.0,0,2,203,28.0,ELLERSLIE,Karhiio Ward,797500.0,Gateway Stake 70
2023-09-23 11:57,Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,1,1,15,15.0,0,2,8,15.0,WOODBEND,,738854.8387,Riverbend Stake 24
2023-09-23 11:58,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,24,0,14,24.0,1,2,146,24.0,CRAWFORD PLAINS,Sspomitapi Ward,140000.0,Gateway Stake 71
2023-09-23 11:58,Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,3,0,52,80.0,1,2,313,67.0,RABBIT HILL,,738854.8387,Riverbend Stake 25
2023-09-23 11:58,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,50,90.0,1,3,460,90.0,CRAWFORD PLAINS,Sspomitapi Ward,140000.0,Gateway Stake 72
2023-09-23 11:58,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,2,37,57.0,0,2,194,57.0,CORONATION PARK,,837500.0,Bonnie Doon Stake 73
2023-09-23 11:58,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,0,23,30.0,0,2,20,30.0,GRIESBACH,Anirniq Ward,6666500.0,Edmonton North Stake 23
2023-09-23 11:58,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,2,3,28,57.0,1,2,200,57.0,FOREST HEIGHTS,MÃÂ©tis Ward,837500.0,Bonnie Doon Stake 74
2023-09-23 11:59,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,2,19,30.0,0,2,100,30.0,GRIESBACH,Anirniq Ward,6666500.0,Edmonton North Stake 24
2023-09-23 11:59,Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,2,0,15,40.0,0,2,80,88.0,WOODBEND,,738854.8387,Riverbend Stake 26
2023-09-23 11:59,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,2,3,27,60.0,0,2,21,60.0,GREENFIELD,papastew Ward,295500.0,Riverbend Stake 27
2023-09-23 11:59,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,2,2,9,60.0,0,2,150,60.0,SOUTHGATE,,837500.0,Bonnie Doon Stake 75
2023-09-23 12:00,Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,2,3,30,35.0,0,2,30,35.0,LEE RIDGE,Karhiio Ward,28618500.0,Gateway Stake 73
2023-09-23 12:00,Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,1,5,70,60.0,0,2,350,60.0,WOODBEND,,738854.8387,Riverbend Stake 28
2023-09-23 12:00,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,20,20,60.0,0,2,147,60.0,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,503500.0,Gateway Stake 74
2023-09-23 12:00,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,4,14,30.0,0,2,190,31.0,ELLERSLIE,Karhiio Ward,797500.0,Gateway Stake 75
2023-09-23 12:00,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,38,90.0,0,2,243,90.0,SILVER BERRY,Sspomitapi Ward,162000.0,Gateway Stake 76
2023-09-23 12:01,Bearspaw Chapel,YSA Stake,Windsor Park YSA Ward,1,2,50,60.0,1,2,110,58.0,WINDSOR PARK YSA,,11036008.34,YSA Stake 1
2023-09-23 12:01,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,1,1,15,60.0,0,2,100,660.0,CORONATION PARK,,837500.0,Bonnie Doon Stake 76
2023-09-23 12:01,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,6,18.5,1,2,136,18.0,CRAWFORD PLAINS,Sspomitapi Ward,140000.0,Gateway Stake 77
2023-09-23 12:01,Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,2,1,35,30.0,0,2,179,65.0,WOODBEND,,738854.8387,Riverbend Stake 29
2023-09-23 12:01,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,2,0,8,20.0,0,2,150,30.0,GREENFIELD,papastew Ward,295500.0,Riverbend Stake 30
2023-09-23 12:01,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,4,25,34.0,0,2,198,34.0,ELLERSLIE,Karhiio Ward,797500.0,Gateway Stake 78
2023-09-23 12:02,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,0,38,90.0,1,2,300,114.0,CLAREVIEW,,837500.0,Bonnie Doon Stake 77
2023-09-23 12:02,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,0,28,45.0,0,2,185,30.26904762,LONDONDERRY,,837500.0,Bonnie Doon Stake 78
2023-09-23 12:02,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,1,21,45.0,1,2,150,45.0,GRIESBACH,Anirniq Ward,6666500.0,Edmonton North Stake 25
2023-09-23 12:02,Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,1,1,30,45.0,0,2,158,40.0,RABBIT HILL,,738854.8387,Riverbend Stake 31
2023-09-23 12:02,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,2,1,46,60.0,0,2,220,60.0,GREENFIELD,papastew Ward,295500.0,Riverbend Stake 32
2023-09-23 12:02,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,1,25,45.0,0,2,230,45.0,SILVER BERRY,Sspomitapi Ward,162000.0,Gateway Stake 79
2023-09-23 12:02,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,1,40,60.0,1,1,228,53.0,ELLERSLIE,Karhiio Ward,797500.0,Gateway Stake 80
2023-09-23 12:03,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,1,2,31,60.0,0,2,143,55.0,SOUTHGATE,,837500.0,Bonnie Doon Stake 79
2023-09-23 12:03,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,4,24,40.0,0,2,169,40.0,LEE RIDGE,Karhiio Ward,28618500.0,Gateway Stake 81
2023-09-23 12:03,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,8,30.0,0,2,144,30.0,CRAWFORD PLAINS,Sspomitapi Ward,140000.0,Gateway Stake 82
2023-09-23 12:03,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,1,17,60.0,0,2,50,75.0,GRIESBACH,Anirniq Ward,6666500.0,Edmonton North Stake 26
2023-09-23 12:03,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,4,40,37.0,0,2,207,30.26904762,ELLERSLIE,Karhiio Ward,797500.0,Gateway Stake 83
2023-09-23 12:03,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,2,0,44,80.0,0,2,200,80.0,GREENFIELD,papastew Ward,295500.0,Riverbend Stake 33
2023-09-23 12:04,Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,1,0,19,60.0,1,2,280,657.0,CONNORS HILL,,837500.0,Bonnie Doon Stake 80
2023-09-23 12:04,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,25,30.0,0,2,150,10.0,CRAWFORD PLAINS,Sspomitapi Ward,140000.0,Gateway Stake 84
2023-09-23 12:04,North Stake Centre,Edmonton North Stake,Griesbach Ward,1,3,30,75.0,0,2,100,645.0,GRIESBACH,Anirniq Ward,6666500.0,Edmonton North Stake 27
2023-09-23 12:04,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,4,0,24,40.0,0,2,155,45.0,LEE RIDGE,Karhiio Ward,28618500.0,Gateway Stake 85
2023-09-23 12:05,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,2,4,45,120.0,0,2,45,109.0,GREENFIELD,papastew Ward,295500.0,Riverbend Stake 34
2023-09-23 12:05,Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,2,1,80,70.0,1,2,400,100.0,RABBIT HILL,,738854.8387,Riverbend Stake 35
2023-09-23 12:05,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,24,60.0,0,2,220,660.0,SILVER BERRY,Sspomitapi Ward,162000.0,Gateway Stake 86
2023-09-23 12:05,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,2,32,60.0,1,2,215,660.0,CRAWFORD PLAINS,Sspomitapi Ward,140000.0,Gateway Stake 87
2023-09-23 12:07,North Stake Centre,Edmonton North Stake,Griesbach Ward,1,0,5,30.0,0,2,40,30.0,GRIESBACH,Anirniq Ward,6666500.0,Edmonton North Stake 28
2023-09-23 12:07,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,4,22,20.0,0,2,194,687.0,CLAREVIEW,,837500.0,Bonnie Doon Stake 81
2023-09-23 12:07,Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,3,0,14,30.0,0,2,159,40.0,RUTHERFORD,Ipiihkoohkanipiaohtsi Ward,1154500.0,Riverbend Stake 36
2023-09-23 12:07,Bonnie Doon Stake Centre,Bonnie Doon Stake,Strathcona Married Student Ward,2,0,14,45.0,0,2,110,35.0,STRATHCONA MARRIED STUDENT,,837500.0,Bonnie Doon Stake 82
2023-09-23 12:07,Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,3,1,34,60.0,0,2,150,96.0,TERWILLEGAR PARK,,738854.8387,Riverbend Stake 37
2023-09-23 12:07,Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,2,0,12,35.0,0,2,159,25.0,RUTHERFORD,Ipiihkoohkanipiaohtsi Ward,1154500.0,Riverbend Stake 38
2023-09-23 12:07,North Stake Centre,Edmonton North Stake,Namao Ward,1,4,22,60.0,0,2,236,90.0,NAMAO,,6666500.0,Edmonton North Stake 29
2023-09-23 12:08,Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,2,2,35,30.0,0,2,207,30.0,RUTHERFORD,Ipiihkoohkanipiaohtsi Ward,1154500.0,Riverbend Stake 39
2023-09-23 12:08,North Stake Centre,Edmonton North Stake,Griesbach Ward,1,5,16,30.0,0,2,120,30.0,GRIESBACH,Anirniq Ward,6666500.0,Edmonton North Stake 30
2023-09-23 12:08,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,4,40,60.0,1,2,400,30.26904762,CLAREVIEW,,837500.0,Bonnie Doon Stake 83
2023-09-23 12:09,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,4,0,8,45.0,0,2,194,60.0,SOUTHGATE,,837500.0,Bonnie Doon Stake 84
2023-09-23 12:09,Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,2,3,23,58.0,0,2,23,58.0,LEE RIDGE,Karhiio Ward,28618500.0,Gateway Stake 88
2023-09-23 12:09,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,1,3,11,30.0,1,2,170,690.0,FOREST HEIGHTS,MÃÂ©tis Ward,837500.0,Bonnie Doon Stake 85
2023-09-23 12:09,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,3,1,28,30.0,0,2,123,30.0,CRAWFORD PLAINS,Sspomitapi Ward,140000.0,Gateway Stake 89
2023-09-23 12:09,Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,4,0,25,60.0,0,2,100,660.0,TERWILLEGAR PARK,,738854.8387,Riverbend Stake 40
2023-09-23 12:10,North Stake Centre,Edmonton North Stake,Griesbach Ward,3,0,16,30.0,0,2,75,30.0,GRIESBACH,Anirniq Ward,6666500.0,Edmonton North Stake 31
2023-09-23 12:10,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,2,2,30,25.0,0,2,196,30.0,GREENFIELD,papastew Ward,295500.0,Riverbend Stake 41
2023-09-23 12:10,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,3,32,52.0,1,1,200,52.0,CRAWFORD PLAINS,Sspomitapi Ward,140000.0,Gateway Stake 90
2023-09-23 12:10,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,1,120,70.0,1,6,900,643.0,CRAWFORD PLAINS,Sspomitapi Ward,140000.0,Gateway Stake 91
2023-09-23 12:11,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,40,90.0,1,3,380,90.0,CRAWFORD PLAINS,Sspomitapi Ward,140000.0,Gateway Stake 92
2023-09-23 12:11,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,0,44,60.0,1,2,266,60.0,CORONATION PARK,,837500.0,Bonnie Doon Stake 86
2023-09-23 12:12,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,16,60.0,0,2,100,655.0,CLAREVIEW,,837500.0,Bonnie Doon Stake 87
2023-09-23 12:12,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,1,20,50.0,0,2,158,675.0,LEE RIDGE,Karhiio Ward,28618500.0,Gateway Stake 93
2023-09-23 12:12,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,1,25,35.0,0,2,26,685.0,CRAWFORD PLAINS,Sspomitapi Ward,140000.0,Gateway Stake 94
2023-09-23 12:12,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,2,39,60.0,0,2,194,30.26904762,LONDONDERRY,,837500.0,Bonnie Doon Stake 88
2023-09-23 12:12,Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,2,1,44,60.0,1,1,168,649.0,LEE RIDGE,Karhiio Ward,28618500.0,Gateway Stake 95
2023-09-23 12:13,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,24,60.0,0,2,128,60.0,CRAWFORD PLAINS,Sspomitapi Ward,140000.0,Gateway Stake 96
2023-09-23 12:13,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,2,1,25,45.0,1,2,256,50.0,SOUTHGATE,,837500.0,Bonnie Doon Stake 89
2023-09-23 12:13,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,0,44,75.0,0,2,125,85.0,LEE RIDGE,Karhiio Ward,28618500.0,Gateway Stake 97
2023-09-23 12:14,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,3,22,35.0,1,2,207,32.0,LEE RIDGE,Karhiio Ward,28618500.0,Gateway Stake 98
2023-09-23 12:14,Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,2,0,20,55.0,0,2,25,55.0,LEE RIDGE,Karhiio Ward,28618500.0,Gateway Stake 99
2023-09-23 12:15,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,2,67,100.0,1,3,501,100.0,ELLERSLIE,Karhiio Ward,797500.0,Gateway Stake 100
2023-09-23 12:15,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,2,5,15,25.0,0,2,115,636.0,SOUTHGATE,,837500.0,Bonnie Doon Stake 90
2023-09-23 12:15,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,36,60.0,1,2,140,647.0,CRAWFORD PLAINS,Sspomitapi Ward,140000.0,Gateway Stake 101
2023-09-23 12:15,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,1,16,30.0,0,2,114,21.0,CRAWFORD PLAINS,Sspomitapi Ward,140000.0,Gateway Stake 102
2023-09-23 12:16,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,3,1,18,23.0,0,2,180,23.0,ELLERSLIE,Karhiio Ward,797500.0,Gateway Stake 103
2023-09-23 12:16,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,27,40.0,1,2,267,40.0,CRAWFORD PLAINS,Sspomitapi Ward,140000.0,Gateway Stake 104
2023-09-23 12:16,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,3,3,37,60.0,0,2,206,50.0,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,503500.0,Gateway Stake 105
2023-09-23 12:16,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,2,0,12,60.0,0,2,194,60.0,SOUTHGATE,,837500.0,Bonnie Doon Stake 91
2023-09-23 12:17,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,3,0,150,120.0,1,4,450,65.0,CLAREVIEW,,837500.0,Bonnie Doon Stake 92
2023-09-23 12:17,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,3,1,28,27.0,0,2,184,27.0,ELLERSLIE,Karhiio Ward,797500.0,Gateway Stake 106
2023-09-23 12:17,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,2,25,45.0,0,2,135,30.26904762,CLAREVIEW,,837500.0,Bonnie Doon Stake 93
2023-09-23 12:17,North Stake Centre,Edmonton North Stake,Griesbach Ward,1,0,7,45.0,0,2,40,675.0,GRIESBACH,Anirniq Ward,6666500.0,Edmonton North Stake 32
2023-09-23 12:17,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,28,90.0,1,2,460,90.0,SILVER BERRY,Sspomitapi Ward,162000.0,Gateway Stake 107
2023-09-23 12:18,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,17,60.0,0,2,153,665.0,SILVER BERRY,Sspomitapi Ward,162000.0,Gateway Stake 108
2023-09-23 12:19,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,2,20,60.0,0,2,110,613.0,CLAREVIEW,,837500.0,Bonnie Doon Stake 94
2023-09-23 12:19,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,4,59,105.0,1,2,492,615.0,SILVER BERRY,Sspomitapi Ward,162000.0,Gateway Stake 109
2023-09-23 12:19,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,17,60.0,0,2,235,78.0,SILVER BERRY,Sspomitapi Ward,162000.0,Gateway Stake 110
2023-09-23 12:20,Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,2,1,100,90.0,1,3,482,137.0,RABBIT HILL,,738854.8387,Riverbend Stake 42
2023-09-23 12:20,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,3,65,65.0,1,3,65,65.0,ELLERSLIE,Karhiio Ward,797500.0,Gateway Stake 111
2023-09-23 12:20,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,26,3,25,35.0,0,2,19,687.0,ELLERSLIE,Karhiio Ward,797500.0,Gateway Stake 112
2023-09-23 12:20,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,0,15,20.0,0,2,50,30.26904762,LONDONDERRY,,837500.0,Bonnie Doon Stake 95
2023-09-23 12:21,Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,2,0,19,65.0,0,2,174,65.0,RUTHERFORD,Ipiihkoohkanipiaohtsi Ward,1154500.0,Riverbend Stake 43
2023-09-23 12:21,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,2,20,20.0,0,2,194,641.0,CLAREVIEW,,837500.0,Bonnie Doon Stake 96
2023-09-23 12:21,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,2,36,35.0,0,2,216,35.0,SILVER BERRY,Sspomitapi Ward,162000.0,Gateway Stake 113
2023-09-23 12:21,North Stake Centre,Edmonton North Stake,Griesbach Ward,1,1,14,60.0,0,2,135,70.0,GRIESBACH,Anirniq Ward,6666500.0,Edmonton North Stake 33
2023-09-23 12:21,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,2,60,80.0,1,2,366,620.0,SILVER BERRY,Sspomitapi Ward,162000.0,Gateway Stake 114
2023-09-23 12:22,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,3,1,30,60.0,0,2,194,30.26904762,CLAREVIEW,,837500.0,Bonnie Doon Stake 97
2023-09-23 12:22,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,0,35,75.0,1,3,75,665.0,LONDONDERRY,,837500.0,Bonnie Doon Stake 98
